item>>01 Product ID,item>>02 SKU,item>>03 Title,item>>04 Brand,item>>05 Color,item>>06 Size,item>>07 In Stock,item>>08 Quantity,item>>09 List Price,item>>10 Sale Price,item>>11 Currency,item>>12 Categories,item>>13 Images,item>>13 URL,item>>14 Extract Date
638013513,144-442-0745-902,Sherpa Dad Coat,Abercrombie & Fitch,BLACK,XXS,No,0,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:48.847Z
638013521,144-442-0745-902,Sherpa Dad Coat,Abercrombie & Fitch,BLACK,XS,Yes,171,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:49.627Z
638013530,144-442-0745-902,Sherpa Dad Coat,Abercrombie & Fitch,BLACK,XL,Yes,109,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:49.828Z
638013548,144-442-0745-902,Sherpa Dad Coat,Abercrombie & Fitch,BLACK,M,Yes,105,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:50.013Z
638013556,144-442-0745-902,Sherpa Dad Coat,Abercrombie & Fitch,BLACK,L,Yes,82,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:50.238Z
638013564,144-442-0745-902,Sherpa Dad Coat,Abercrombie & Fitch,BLACK,S,Yes,180,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9063-0745-902_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:50.577Z
638013581,144-442-0746-410,Sherpa Dad Coat,Abercrombie & Fitch,LIGHT BROWN,XXS,No,0,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model7?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model8?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:50.752Z
638013599,144-442-0746-410,Sherpa Dad Coat,Abercrombie & Fitch,LIGHT BROWN,XS,Yes,320,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model7?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model8?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:51.114Z
638013601,144-442-0746-410,Sherpa Dad Coat,Abercrombie & Fitch,LIGHT BROWN,XL,Yes,207,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model7?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model8?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:51.294Z
638013610,144-442-0746-410,Sherpa Dad Coat,Abercrombie & Fitch,LIGHT BROWN,M,Yes,560,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model7?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model8?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:51.443Z
638013628,144-442-0746-410,Sherpa Dad Coat,Abercrombie & Fitch,LIGHT BROWN,L,Yes,284,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model7?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model8?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:51.620Z
638013636,144-442-0746-410,Sherpa Dad Coat,Abercrombie & Fitch,LIGHT BROWN,S,Yes,338,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model7?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_model8?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9064-0746-410_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:51.819Z
638504355,144-442-0799-420,Sherpa Dad Coat,Abercrombie & Fitch,RUST,L,Yes,16,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model7?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model8?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:51.967Z
638504363,144-442-0799-420,Sherpa Dad Coat,Abercrombie & Fitch,RUST,XL,Yes,6,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model7?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model8?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:52.313Z
638504371,144-442-0799-420,Sherpa Dad Coat,Abercrombie & Fitch,RUST,M,Yes,29,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model7?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model8?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:52.510Z
638504380,144-442-0799-420,Sherpa Dad Coat,Abercrombie & Fitch,RUST,XS,Yes,30,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model7?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model8?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:52.711Z
638504398,144-442-0799-420,Sherpa Dad Coat,Abercrombie & Fitch,RUST,S,Yes,9,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model7?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model8?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:52.890Z
638504401,144-442-0799-420,Sherpa Dad Coat,Abercrombie & Fitch,RUST,XXS,Yes,1,140,98,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model7?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_model8?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9164-0799-420_prod1?scl=1,https://www.abercrombie.com/shop/us/p/sherpa-dad-coat-32317819?categoryId=12252&seq=02,2020-02-10T22:47:53.159Z
638204379,144-442-0752-900,3-in-1 Ultra Parka,Abercrombie & Fitch,BLACK,XXS,Yes,2,240,85,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_life1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model7?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model8?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_prod2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_prod3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_prod4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_prod5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_prod6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_prod1?scl=1,https://www.abercrombie.com/shop/us/p/3-in-1-ultra-parka-33539319?categoryId=12252&seq=01,2020-02-10T22:47:57.766Z
638204483,144-442-0752-900,3-in-1 Ultra Parka,Abercrombie & Fitch,BLACK,XL,No,0,240,85,USD,Womens|Coats & Jackets,https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_life1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model7?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_model8?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_prod1?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_prod2?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_prod3?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_prod4?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_prod5?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_prod6?scl=1|https://anf.scene7.com/is/image/anf/KIC_144-9700-0752-900_prod1?scl=1,https://www.abercrombie.com/shop/us/p/3-in-1-ultra-parka-33539319?categoryId=12252&seq=01,2020-02-10T22:47:58.213Z
