item>>brand,item>>categories,item>>description,item>>image,item>>instock,item>>price,item>>sku,item>>title,item>>url,"item>>Вес, кг",item>>Высота (см),item>>Высота товара в индивидуальной упаковке (см),item>>Гарантия (лет),item>>Глубина товара в индивидуальной упаковке (см),item>>Диаметр трубы подключения (дюйм),item>>Количество секций,item>>Максимальное давление (бар),item>>Марка,item>>Межосевое расстояние (см),item>>Объем (л),item>>Основной материал,item>>Площадь нагрева (в м²),item>>Рабочее давление (бар),item>>Серия,item>>Страна производства,item>>Теплоотдача (Вт),item>>Тип подводки,item>>Цвет,item>>Ширина (см),item>>Ширина товара в индивидуальной упаковке (см)
EQUATION,"Водоснабжение,Радиаторы отопления,Радиаторы биметаллические","Радиатор EQUATION биметаллический двухсторонний можно применять как при строительстве новых, так и при модернизации существующих систем отопления. Эти радиаторы отлично подойдут для помещений с панорамными окнами или витринным остеклением, где очень важен эстетичный внешний вид обеих сторон радиатора. Двухсторонняя конструкция — это не только универсальность и практичность, но и интересный дизайн и новый облик прибора, который создает уют и дает тепло вашему дому.ПреимуществаСекция радиатора состоит из стальной трубы, залитой под высоким давлением высокопрочным алюминиевым сплавом.Марка стали – «СЕВЕРКОР ЮНИ». В ее микроструктуре отсутствуют Коррозионно-Активные Неметаллические Включения (КАНВ), благодаря чему эта сталь обладает высокими антикоррозионными свойствами.Герметичность межсекционного стыка радиатора EQUATION достигается за счет образования замкового соединения. На торцах секций отфрезерованы проточки, в которые при сборке радиатора устанавливают прокладку из EPDM. Прокладка надежно фиксируется и гарантировано защищена слоем металла от выдавливания.Резьба в радиаторе EQUATION биметаллический выполняется и контролируется в строгом соответствии с ГОСТ 6357-81. Качественная и чистая резьба, без наплывов краски и дефектов - важная составляющая надежности прибора.Радиаторы идеально окрашены со всех сторон. Стандартный цвет - RAL 9016. Белоснежно белый цвет. Высококачественная порошковая эмаль наносится равномерно, без подтеков и наплывов и в течение всего срока службы придает безупречный внешний вид прибору.Радиаторы EQUATION биметаллический двухсторонний представлены тремя моделями с межосевыми расстояниями 500, 350 и 200 мм. Они имеют высокую теплоотдачу и могут применяться в системах отопления с любым типом теплоносителя: вода, антифриз или масло. Высокая теплоотдача достигается за счет продуманной симметричной конструкции радиатора, а также за счет большой металлоёмкости изделия и увеличенной площади поверхности боковых теплопередающих ребер.Имеют модификацию VENTIL с нижним подключением, под стандартный узел с межосевым расстоянием 50 мм.В Радиаторе EQUATION биметаллический двухсторонний с нижним подключением предустановлены: заглушки, кран Маевского и термостатический клапан. Для его подключения к системе отопления рекомендуем приобрести: двойной узел нижнего подключения прямой или угловой с внутренней резьбой на ¾ дюйма типа - евроконус. Для удобства регулировки температуры в помещении рекомендуем приобрести автоматический терморегулятор Для бокового подключения радиатора EQUATION биметаллический двухсторонний к системе отопления, в зависимости от диаметра подводных труб необходимо приобрести монтажный комплект 1""х3/4"" или 1""х1/2"" дюймаОбратите внимание. В радиаторе EQUATION биметаллический двухсторонний зазор между секциями составляет от 3,5 до 4,2 мм. Поэтому для настенного крепления прибора рекомендуем вам подобрать кронштейны толщиной не более 3,5 мм. Например, настенные регулируемые кронштейны RIFAR.Крепеж радиатора EQUATION биметаллический двухсторонний к полу удобно производить с помощью напольных регулируемых кронштейнов RIFAR","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/89106836.jpg",Доступно для заказа,13243.00,89106836,Радиатор Equation 500/90 10 секций двухсторонний нижнее подключение биметалл,https://leroymerlin.ru/product/radiator-equation-500-90-10-sekciy-dvuhstoronniy-nizhnee-podklyuchenie-bimetall-89106836/,16.31,56.3,57.3,20,10.0,"1""",10,,EQUATION,500,2.0,Сталь / алюминий,17.5,20.0,Bimetal,Россия,1750,Нижний,Белый,80.0,81.0
RIFAR,"Водоснабжение,Радиаторы отопления,Радиаторы биметаллические","Биметаллический радиатор MONOLIT – это новый, запатентованный отопительный прибор компании «РИФАР» с особо высокими техническими характеристиками, отвечающими самым суровым условиям эксплуатации. Внутри радиатора теплоноситель движется по стальным каналам, соединенным с помощью уникальной технологии сварки в единую неразборную конструкцию. Благодаря этому в радиаторе MONOLIT в принципе отсутствуют участки, потенциально опасные для возникновения протечек. Радиаторы MONOLIT обладают исключительной надежностью, а также высокой теплоотдачей, которая достигается за счет развитой геометрии теплопередающих поверхностей из алюминиевого сплава.ПреимуществаГарантия производителя – 25 лет.Эффективность поддержания комфортного температурного режима.Высокая стойкость к коррозии. .Отсутствие межсекционных стыков.Индифферентность к типу теплоносителя и качеству его подготовки в системах индивидуального и коллективного отопления.Возможность использования радиатора при высокой (до 135 °С) температуре теплоносителя.Высокая прочность конструкции. Рабочее давление теплоносителя – до 30 атм; испытательное давление – 45 атм.Возможность применения в помещениях различного назначения, в том числе в медицинских учреждениях, в детских дошкольных учреждениях и т. д.Легкость монтажа. Нет необходимости установки переходников с левой и правой резьбой. Стандартные резьбовые соединения G1/2” или G3/4” являются неотъемлемой частью конструкции радиатора.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/12876448.jpg",Доступно для заказа,10944.00,12876448,Радиатор Rifar Monolit 500 8 секций боковое подключение биметалл,https://leroymerlin.ru/product/radiator-rifar-monolit-500-8-sekciy-bokovoe-podklyuchenie-bimetall-12876448/,16.35,57.7,10.8,25,65,"3/4""",8,45.0,RIFAR,500,1.6,Сталь / алюминий,16.0,30.0,Monolit,Россия,1568,Боковой,Белый,64.0,60
RIFAR,"Водоснабжение,Радиаторы отопления,Радиаторы биметаллические","Биметаллический радиатор MONOLIT – это новый, запатентованный отопительный прибор компании «РИФАР» с особо высокими техническими характеристиками, отвечающими самым суровым условиям эксплуатации. Внутри радиатора теплоноситель движется по стальным каналам, соединенным с помощью уникальной технологии сварки в единую неразборную конструкцию. Благодаря этому в радиаторе MONOLIT в принципе отсутствуют участки, потенциально опасные для возникновения протечек. Радиаторы MONOLIT обладают исключительной надежностью, а также высокой теплоотдачей, которая достигается за счет развитой геометрии теплопередающих поверхностей из алюминиевого сплава.ПреимуществаГарантия производителя – 25 лет.Эффективность поддержания комфортного температурного режима.Высокая стойкость к коррозии. .Отсутствие межсекционных стыков.Индифферентность к типу теплоносителя и качеству его подготовки в системах индивидуального и коллективного отопления.Возможность использования радиатора при высокой (до 135 °С) температуре теплоносителя.Высокая прочность конструкции. Рабочее давление теплоносителя – до 30 атм; испытательное давление – 45 атм.Возможность применения в помещениях различного назначения, в том числе в медицинских учреждениях, в детских дошкольных учреждениях и т. д.Легкость монтажа. Нет необходимости установки переходников с левой и правой резьбой. Стандартные резьбовые соединения G1/2” или G3/4” являются неотъемлемой частью конструкции радиатора.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/12876392.jpg",Доступно для заказа,8208.00,12876392,Радиатор Rifar Monolit 500 6 секций боковое подключение биметалл,https://leroymerlin.ru/product/radiator-rifar-monolit-500-6-sekciy-bokovoe-podklyuchenie-bimetall-12876392/,12.734,57.7,10.6,25,60,"3/4""",6,45.0,RIFAR,500,1.2,Сталь / алюминий,12.0,30.0,Monolit,Россия,1176,Боковой,Белый,48.0,48.8
EQUATION,"Водоснабжение,Радиаторы отопления,Радиаторы биметаллические","Радиатор EQUATION биметаллический двухсторонний можно применять как при строительстве новых, так и при модернизации существующих систем отопления. Эти радиаторы отлично подойдут для помещений с панорамными окнами или витринным остеклением, где очень важен эстетичный внешний вид обеих сторон радиатора. Двухсторонняя конструкция — это не только универсальность и практичность, но и интересный дизайн и новый облик прибора, который создает уют и дает тепло вашему дому.ПреимуществаСекция радиатора состоит из стальной трубы, залитой под высоким давлением высокопрочным алюминиевым сплавом.Марка стали – «СЕВЕРКОР ЮНИ». В ее микроструктуре отсутствуют Коррозионно-Активные Неметаллические Включения (КАНВ), благодаря чему эта сталь обладает высокими антикоррозионными свойствами.Герметичность межсекционного стыка радиатора EQUATION достигается за счет образования замкового соединения. На торцах секций отфрезерованы проточки, в которые при сборке радиатора устанавливают прокладку из EPDM. Прокладка надежно фиксируется и гарантировано защищена слоем металла от выдавливания.Резьба в радиаторе EQUATION биметаллический выполняется и контролируется в строгом соответствии с ГОСТ 6357-81. Качественная и чистая резьба, без наплывов краски и дефектов - важная составляющая надежности прибора.Радиаторы идеально окрашены со всех сторон. Стандартный цвет - RAL 9016. Белоснежно белый цвет. Высококачественная порошковая эмаль наносится равномерно, без подтеков и наплывов и в течение всего срока службы придает безупречный внешний вид прибору.Радиаторы EQUATION биметаллический двухсторонний представлены тремя моделями с межосевыми расстояниями 500, 350 и 200 мм. Они имеют высокую теплоотдачу и могут применяться в системах отопления с любым типом теплоносителя: вода, антифриз или масло. Высокая теплоотдача достигается за счет продуманной симметричной конструкции радиатора, а также за счет большой металлоёмкости изделия и увеличенной площади поверхности боковых теплопередающих ребер.Имеют модификацию VENTIL с нижним подключением, под стандартный узел с межосевым расстоянием 50 мм.В Радиаторе EQUATION биметаллический двухсторонний с нижним подключением предустановлены: заглушки, кран Маевского и термостатический клапан. Для его подключения к системе отопления рекомендуем приобрести: двойной узел нижнего подключения прямой или угловой с внутренней резьбой на ¾ дюйма типа - евроконус. Для удобства регулировки температуры в помещении рекомендуем приобрести автоматический терморегулятор Для бокового подключения радиатора EQUATION биметаллический двухсторонний к системе отопления, в зависимости от диаметра подводных труб необходимо приобрести монтажный комплект 1""х3/4"" или 1""х1/2"" дюймаОбратите внимание. В радиаторе EQUATION биметаллический двухсторонний зазор между секциями составляет от 3,5 до 4,2 мм. Поэтому для настенного крепления прибора рекомендуем вам подобрать кронштейны толщиной не более 3,5 мм. Например, настенные регулируемые кронштейны RIFAR.Крепеж радиатора EQUATION биметаллический двухсторонний к полу удобно производить с помощью напольных регулируемых кронштейнов RIFAR","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/89106828.jpg",Доступно для заказа,6840.00,89106828,Радиатор Equation 500/90 6 секций двухсторонний биметалл,https://leroymerlin.ru/product/radiator-equation-500-90-6-sekciy-dvuhstoronniy-bimetall-89106828/,9.64,56.3,57.3,20,10.0,"1""",6,,EQUATION,500,1.2,Сталь / алюминий,10.5,20.0,Bimetal,Россия,1050,Боковой,Белый,48.0,49.0
RIFAR,"Водоснабжение,Радиаторы отопления,Радиаторы биметаллические","Биметаллический радиатор MONOLIT – это новый, запатентованный отопительный прибор компании «РИФАР» с особо высокими техническими характеристиками, отвечающими самым суровым условиям эксплуатации. Внутри радиатора теплоноситель движется по стальным каналам, соединенным с помощью уникальной технологии сварки в единую неразборную конструкцию. Благодаря этому в радиаторе MONOLIT в принципе отсутствуют участки, потенциально опасные для возникновения протечек. Радиаторы MONOLIT обладают исключительной надежностью, а также высокой теплоотдачей, которая достигается за счет развитой геометрии теплопередающих поверхностей из алюминиевого сплава.ПреимуществаГарантия производителя – 25 лет.Эффективность поддержания комфортного температурного режима.Высокая стойкость к коррозии. .Отсутствие межсекционных стыков.Индифферентность к типу теплоносителя и качеству его подготовки в системах индивидуального и коллективного отопления.Возможность использования радиатора при высокой (до 135 °С) температуре теплоносителя.Высокая прочность конструкции. Рабочее давление теплоносителя – до 30 атм; испытательное давление – 45 атм.Возможность применения в помещениях различного назначения, в том числе в медицинских учреждениях, в детских дошкольных учреждениях и т. д.Легкость монтажа. Нет необходимости установки переходников с левой и правой резьбой. Стандартные резьбовые соединения G1/2” или G3/4” являются неотъемлемой частью конструкции радиатора.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/12876499.jpg",Доступно для заказа,13680.00,12876499,Радиатор Rifar Monolit 500 10 секций боковое подключение биметалл,https://leroymerlin.ru/product/radiator-rifar-monolit-500-10-sekciy-bokovoe-podklyuchenie-bimetall-12876499/,20.432,57.7,10.8,25,81.2,"3/4""",10,45.0,RIFAR,500,2.0,Сталь / алюминий,20.0,30.0,Monolit,Россия,1960,Боковой,Белый,80.0,60.6
ROYAL THERMO,"Электротовары,Электрический обогрев дома и квартиры,Товары для отопления квартиры и дачи","Биметаллический дизайн-радиатор для любых систем отопления с боковым подключениемАэродинамический дизайн BILINER ®Разработанный IPG Design Studio (Италия) совместно с экспертами НИИ Сантехники (Россия) аэродинамический дизайн BILINER позволил достичь революционной тепловой эффективности радиатора при компактных размерах.Повышенная мощность, технология POWERSHIFT ®Дополнительное оребрение на вертикальном коллекторе секции увеличивает теплоотдачу радиатора на 5%. Такое решение способствует более быстрому обогреву помещений при том же размере и весе секций.100% НАСТОЯЩИЙ БИМЕТАЛЛПрименение полностью стального закладного элемента, выполненного из углеродистой стали марки 20, которая отличается повышенной коррозионной стойкостью и эксплуатационной надежностью. Гарантирует надежную работу в системах, подверженных гидроударам и с химически агрессивными теплоносителями (в том числе антифризами).Oxsilan® 9807 – новое поколение экологически чистого покрытия без тяжелых металлов и фосфатовOxsilan® 9807 наносится на секцию радиатора перед покраской и за счет улучшенной адгезии лакокрасочного покрытия повышает антикоррозийную стойкость и долговечность радиаторов.Сверхстойкая 7-этапная NANO-покраска TECNOFIRMA®Нанесение экологически чистых нано-красок AkzoNobel (Нидерланды) и FreiLacke (Германия) в семь этапов гарантирует стойкость к механическим повреждениям и обеспечивает долговечность покрытия радиатора в помещениях с повышенной влажностью.Цветовые возможности COLORPLUSТри цвета Bianco Traffico, Silver Satin и Noir Sable дизайнерской палитры FUTURA AKZONOBEL (Нидерланды) позволяют создать абсолютно уникальный радиатор.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/81979199.jpg",Доступно для заказа,10920.00,81979199,Радиатор Royal Thermo BiLiner 500 10 секций Bianco Traffico боковое подключение биметалл,https://leroymerlin.ru/product/radiator-royal-thermo-biliner-500-10-sekciy-bianco-traffico-bokovoe-podklyuchenie-bimetall-81979199/,19.062,57.4,11.8,25,83,"1""",10,45.0,ROYAL THERMO,500,2.05,Сталь / алюминий,19.0,30.0,BIliner,Россия,1710,Боковой,Белый,80.0,63
ROYAL THERMO,"Электротовары,Электрический обогрев дома и квартиры,Товары для отопления квартиры и дачи","Биметаллический дизайн-радиатор для любых систем отопления с боковым подключениемАэродинамический дизайн BILINER ®Разработанный IPG Design Studio (Италия) совместно с экспертами НИИ Сантехники (Россия) аэродинамический дизайн BILINER позволил достичь революционной тепловой эффективности радиатора при компактных размерах.Повышенная мощность, технология POWERSHIFT ®Дополнительное оребрение на вертикальном коллекторе секции увеличивает теплоотдачу радиатора на 5%. Такое решение способствует более быстрому обогреву помещений при том же размере и весе секций.100% НАСТОЯЩИЙ БИМЕТАЛЛПрименение полностью стального закладного элемента, выполненного из углеродистой стали марки 20, которая отличается повышенной коррозионной стойкостью и эксплуатационной надежностью. Гарантирует надежную работу в системах, подверженных гидроударам и с химически агрессивными теплоносителями (в том числе антифризами).Oxsilan® 9807 – новое поколение экологически чистого покрытия без тяжелых металлов и фосфатовOxsilan® 9807 наносится на секцию радиатора перед покраской и за счет улучшенной адгезии лакокрасочного покрытия повышает антикоррозийную стойкость и долговечность радиаторов.Сверхстойкая 7-этапная NANO-покраска TECNOFIRMA®Нанесение экологически чистых нано-красок AkzoNobel (Нидерланды) и FreiLacke (Германия) в семь этапов гарантирует стойкость к механическим повреждениям и обеспечивает долговечность покрытия радиатора в помещениях с повышенной влажностью.Цветовые возможности COLORPLUSТри цвета Bianco Traffico, Silver Satin и Noir Sable дизайнерской палитры FUTURA AKZONOBEL (Нидерланды) позволяют создать абсолютно уникальный радиатор.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/81979198.jpg",Доступно для заказа,8736.00,81979198,Радиатор Royal Thermo BiLiner 500 8 секций Bianco Traffico боковое подключение биметалл,https://leroymerlin.ru/product/radiator-royal-thermo-biliner-500-8-sekciy-bianco-traffico-bokovoe-podklyuchenie-bimetall-81979198/,14.866,57.4,11.6,25,66.6,"1""",8,45.0,ROYAL THERMO,500,1.64,Сталь / алюминий,15.0,30.0,BIliner,Россия,1368,Боковой,Белый,64.0,62.2
EQUATION,"Водоснабжение,Радиаторы отопления,Радиаторы биметаллические","Радиатор EQUATION биметаллический двухсторонний можно применять как при строительстве новых, так и при модернизации существующих систем отопления. Эти радиаторы отлично подойдут для помещений с панорамными окнами или витринным остеклением, где очень важен эстетичный внешний вид обеих сторон радиатора. Двухсторонняя конструкция — это не только универсальность и практичность, но и интересный дизайн и новый облик прибора, который создает уют и дает тепло вашему дому.ПреимуществаСекция радиатора состоит из стальной трубы, залитой под высоким давлением высокопрочным алюминиевым сплавом.Марка стали – «СЕВЕРКОР ЮНИ». В ее микроструктуре отсутствуют Коррозионно-Активные Неметаллические Включения (КАНВ), благодаря чему эта сталь обладает высокими антикоррозионными свойствами.Герметичность межсекционного стыка радиатора EQUATION достигается за счет образования замкового соединения. На торцах секций отфрезерованы проточки, в которые при сборке радиатора устанавливают прокладку из EPDM. Прокладка надежно фиксируется и гарантировано защищена слоем металла от выдавливания.Резьба в радиаторе EQUATION биметаллический выполняется и контролируется в строгом соответствии с ГОСТ 6357-81. Качественная и чистая резьба, без наплывов краски и дефектов - важная составляющая надежности прибора.Радиаторы идеально окрашены со всех сторон. Стандартный цвет - RAL 9016. Белоснежно белый цвет. Высококачественная порошковая эмаль наносится равномерно, без подтеков и наплывов и в течение всего срока службы придает безупречный внешний вид прибору.Радиаторы EQUATION биметаллический двухсторонний представлены тремя моделями с межосевыми расстояниями 500, 350 и 200 мм. Они имеют высокую теплоотдачу и могут применяться в системах отопления с любым типом теплоносителя: вода, антифриз или масло. Высокая теплоотдача достигается за счет продуманной симметричной конструкции радиатора, а также за счет большой металлоёмкости изделия и увеличенной площади поверхности боковых теплопередающих ребер.Имеют модификацию VENTIL с нижним подключением, под стандартный узел с межосевым расстоянием 50 мм.В Радиаторе EQUATION биметаллический двухсторонний с нижним подключением предустановлены: заглушки, кран Маевского и термостатический клапан. Для его подключения к системе отопления рекомендуем приобрести: двойной узел нижнего подключения прямой или угловой с внутренней резьбой на ¾ дюйма типа - евроконус. Для удобства регулировки температуры в помещении рекомендуем приобрести автоматический терморегулятор Для бокового подключения радиатора EQUATION биметаллический двухсторонний к системе отопления, в зависимости от диаметра подводных труб необходимо приобрести монтажный комплект 1""х3/4"" или 1""х1/2"" дюймаОбратите внимание. В радиаторе EQUATION биметаллический двухсторонний зазор между секциями составляет от 3,5 до 4,2 мм. Поэтому для настенного крепления прибора рекомендуем вам подобрать кронштейны толщиной не более 3,5 мм. Например, настенные регулируемые кронштейны RIFAR.Крепеж радиатора EQUATION биметаллический двухсторонний к полу удобно производить с помощью напольных регулируемых кронштейнов RIFAR","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/89106829.jpg",Доступно для заказа,9120.00,89106829,Радиатор Equation 500/90 8 секций двухсторонний биметалл,https://leroymerlin.ru/product/radiator-equation-500-90-8-sekciy-dvuhstoronniy-bimetall-89106829/,12.72,56.3,57.3,20,10.0,"1""",8,,EQUATION,500,1.6,Сталь / алюминий,14.0,20.0,Bimetal,Россия,1400,Боковой,Белый,64.0,65.0
RIFAR,"Водоснабжение,Радиаторы отопления,Радиаторы биметаллические","Биметаллический радиатор MONOLIT – это новый, запатентованный отопительный прибор компании «РИФАР» с особо высокими техническими характеристиками, отвечающими самым суровым условиям эксплуатации. Внутри радиатора теплоноситель движется по стальным каналам, соединенным с помощью уникальной технологии сварки в единую неразборную конструкцию. Благодаря этому в радиаторе MONOLIT в принципе отсутствуют участки, потенциально опасные для возникновения протечек. Радиаторы MONOLIT обладают исключительной надежностью, а также высокой теплоотдачей, которая достигается за счет развитой геометрии теплопередающих поверхностей из алюминиевого сплава.ПреимуществаГарантия производителя – 25 лет.Эффективность поддержания комфортного температурного режима.Высокая стойкость к коррозии. .Отсутствие межсекционных стыков.Индифферентность к типу теплоносителя и качеству его подготовки в системах индивидуального и коллективного отопления.Возможность использования радиатора при высокой (до 135 °С) температуре теплоносителя.Высокая прочность конструкции. Рабочее давление теплоносителя – до 30 атм; испытательное давление – 45 атм.Возможность применения в помещениях различного назначения, в том числе в медицинских учреждениях, в детских дошкольных учреждениях и т. д.Легкость монтажа. Нет необходимости установки переходников с левой и правой резьбой. Стандартные резьбовые соединения G1/2” или G3/4” являются неотъемлемой частью конструкции радиатора.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/12876544.jpg",Доступно для заказа,16416.00,12876544,Радиатор Rifar Monolit 500 12 секций боковое подключение биметалл,https://leroymerlin.ru/product/radiator-rifar-monolit-500-12-sekciy-bokovoe-podklyuchenie-bimetall-12876544/,24.186,57.7,10.9,25,96,"3/4""",12,45.0,RIFAR,500,2.4,Сталь / алюминий,24.0,30.0,Monolit,Россия,2352,Боковой,Белый,96.0,60
