item>>brand,item>>categories,item>>color,item>>description,item>>gender,item>>image,item>>instock,item>>price,item>>rating,item>>seller,item>>sku,item>>total_reviews,item>>url
Trulife,"Вкладыши после мастэктомии,Здоровье",телесный,"Облегченный симметричный протез может использоваться с любой стороны. Облегченный силикон уменьшает вес протеза на 35%(максимально допустимое уменьшение веса для экзопротезов молочной железы). Комфортное ношение после радикальной резекции или мастэктомии, при лимфедеме или угрозе ее возникновения, при выраженных неровностях послеоперационной поверхности, при большом размере груди. Комфортное прилегание благодаря подвижному слою на тыльной стороне. Подвижный слой силикона можно распределить равномерно или сделать более объемными отдельные участки тыльной стороны протеза для заполнения неровностей послеоперационной поверхности. Оболочка силиконового протеза груди из матовой пленки, шелковистой на ощупь. Пленка устойчива к воздействию хлорированной или соленой воды. Важно ухаживать за протезом, чтобы он прослужил долго: ежедневно мыть под проточной водой средствами, которые вы используете для тела, хранить протез в ложементе коробки, не допускать механических повреждений.",,https://images.wbstatic.net/c516x688/new/38890000/38897250-1.jpg,yes,16 932,5,МАЙЛС МЕД ООО,38897250,9,https://www.wildberries.ru/catalog/38897250/detail.aspx
Anita,"Вкладыши после мастэктомии,Здоровье",телесный,,,https://images.wbstatic.net/c516x688/new/18190000/18192008-1.jpg,yes,16 932,5,МАЙЛС МЕД ООО,18192008,23,https://www.wildberries.ru/catalog/18192008/detail.aspx
Evita-orto,"Вкладыши после мастэктомии,Здоровье","телесный, бежевый","Протез молочной железы треугольной формы, **размеры с 4 по 7.**Предназначен для протезирования после простой или модифицированной радикальной мастэктомии. Протез груди максимально скрывает неровности, улучшает силуэт.Изготовлен из нетоксичного и гипоаллергенного силикона, плотность которого соответствует настоящей груди.Верхнее покрытие - двухслойная матовая полиуретановая оболочка, схожая на ощупь с кожей. Экзопротез имеет мягкую и нежную структуру, быстро адаптируется к температуре тела.**Выбор размера протеза грудной железы:** Необходимо воспользоваться инструкциями, расположенными в карусели фотографий. Сначала необходимо определить размер белья, далее по таблице определить размер протеза.Грудные протезы зарегистрированы в качестве средства реабилитации, о чем свидетельствует запись в реестре медицинских изделий. Вся продукция изготовлены в соответствии системой менеджмента качества ГОСТ ISO 9001-2015.Перед покупкой рекомендуем проконсультироваться с врачом.",,https://images.wbstatic.net/c516x688/new/39490000/39496813-1.jpg,yes,5 443,5,ИП Кузнецов С.В.,39496813,8,https://www.wildberries.ru/catalog/39496813/detail.aspx
Evita-orto,"Вкладыши после мастэктомии,Здоровье","телесный, бежевый","Экзопротез молочной железы симметричной формы, **размеры с 4 по 8.**Предназначен для постоянного дневного ношения.Обеспечивает сбалансированную осанку, компенсирует весовой дисбаланс и предупреждает вторичные деформации тела.Изготовлен из нетоксичного и гипоаллергенного силикона, плотность которого соответствует настоящей груди.Верхнее покрытие - двухслойная матовая полиуретановая оболочка, схожая на ощупь с кожей. Протез грудной железы имеет нежную структуру, быстро адаптируется к температуре тела.**Выбор размера протеза груди:** необходимо воспользоваться инструкциями в карусели фотографий. Сначала необходимо определить размер белья, далее по таблице определить размер протеза.Грудные протезы зарегистрированы в качестве средства реабилитации, о чем свидетельствует запись в реестре медицинских изделий. Вся продукция изготовлены в соответствии системой менеджмента качества ГОСТ ISO 9001-2015.Перед покупкой рекомендуем проконсультироваться с врачом.",,https://images.wbstatic.net/c516x688/new/39490000/39493885-1.jpg,yes,5 400,5,ИП Кузнецов С.В.,39493885,8,https://www.wildberries.ru/catalog/39493885/detail.aspx
Trulife,"Вкладыши после мастэктомии,Здоровье",телесный,"Протез невозможно повредить случайно, т.к. силикон не покрыт полиуретановой пленкой. Уникальная структура силикона сохраняет форму протеза без покрытия пленкой.Этому протезу не страшны проколы и порезы. Незначительные механические повреждения не испортят его форму и функциональность. Поверхность протеза не глянцевая, это обеспечивает стабильное положение в чашке бюстгальтера. Облегченный за счет пористой (губчатой) структуры силикона. Комфортное ношение после радикальной резекции или мастэктомии, при лимфедеме или угрозе ее возникновения, при выраженных неровностях послеоперационной поверхности, при большом размере груди. Помимо повседневного ношения протез с такой структурой силикона прекрасно подойдет для плавания или активных спортивных занятий. Важно ухаживать за протезом, чтобы он прослужил долго: ежедневно мыть под проточной водой средствами, которые вы используете для тела, хранить протез в ложементе коробки.",,https://images.wbstatic.net/c516x688/new/59940000/59942688-1.jpg,yes,19 966,5,МАЙЛС МЕД ООО,59942688,1,https://www.wildberries.ru/catalog/59942688/detail.aspx
Anita,"Бюстгальтеры ортопедические,Здоровье",песочный,"Бюстгальтер с хлопковыми карманами для протезов. Из нежного микроволокна с фактурным рисунком и интересной игрой света и тени, прекрасно скрывает возможные неровности. Идеальный вариант на каждый день. Высокая линия декольте. Мягкие сшивные чашки из трех частей хорошо скрывают возможный дефицит тканей в подмышечной области. Бретели из широкой эластичной ленты. Четырех уровневая застежка с размера 75 С. Широкий пояс и высокая спинка.",Женский,https://images.wbstatic.net/c516x688/new/13570000/13576030-1.jpg,yes,6 229,5,МАЙЛС МЕД ООО,13576030,58,https://www.wildberries.ru/catalog/13576030/detail.aspx
Крейт,"Вкладыши после мастэктомии,Здоровье",,"Цвет и конструкция готового изделия могут отличаться от представленных на фото без нарушения функциональных свойств. Описание: Облегченный вкладыш компенсирует форму и объем молочной железы в раннем послеоперационном периоде (в первые 2-3 месяца после мастэктомии). Объем вкладыша можно регулировать через специальное отверстие. Вкладыш выполнен из трикотажного хлопчатобумажного полотна. Подходит для правой и левой стороны. Состав: 95% хлопок, 5% эластан, внутри синтепух. Цена за 1 шт. Модель М3.",,https://images.wbstatic.net/c516x688/new/27750000/27755444-1.jpg,yes,561,5,Белозеров Александр Евгеньевич ИП,27755444,43,https://www.wildberries.ru/catalog/27755444/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",серый,,Женский,https://images.wbstatic.net/c516x688/new/10820000/10823331-1.jpg,yes,2 256,5,ПРЕДПРИЯТИЕ АИСТ ООО,10823331,122,https://www.wildberries.ru/catalog/10823331/detail.aspx
Anita,"Бюстгальтеры ортопедические,Здоровье",шампань,"Притягательный бюстгальтер с кармашками для протеза с обеих сторон. Чашки с вертикальными швами, подобно пуш-ап, придают груди аккуратную и соблазнительную форму. В больших размерах для надежной поддержки бюста предназначена дополнительная потайная деталь. В модели черного цвета подкладка выполнена из цветного тюля и выглядит очень естественно. Необычные бретели из мягкого вспененного материала в чехле из мягчайшего микроволокна. Спинка усилена прочной эластичной тканью. 20% хлопка в составе.",Женский,https://images.wbstatic.net/c516x688/new/12170000/12172838-1.jpg,yes,7 893,5,МАЙЛС МЕД ООО,12172838,58,https://www.wildberries.ru/catalog/12172838/detail.aspx
Anita,"Бюстгальтеры ортопедические,Здоровье",серый шелк,"Округлую естественную форму груди создают плотные формованные, бесшовные чашки. Мягкие приятные к телу карманы не раздражают даже самую чувствительную кожу, так как выполнены из современного гипоаллергенного полупрозрачного микроволокна. Нагрузку на плечи равномерно распределяют мягкие комфортные бретели. Спинка бюстгальтера защищена от деформации слоем эластичной корсетной сетки. Гладкие чашки не видны под облегающей одеждой. Ощущение комфорта в течение всего дня. Бюстгальтер не выглядит громоздко несмотря на завышенную линию декольте. Соблюдайте простые правила по уходу и бюстгальтер прослужит вам очень долго. Уделите внимание размерной таблице производителя. Выбор размера с учетом рекомендаций производителя-залог удачной покупки, которая подарит комфорт, уверенность, легкость и отличное настроение.",Женский,https://images.wbstatic.net/c516x688/new/51620000/51629212-1.jpg,yes,8 443,5,"ООО ""УНИКОМФОРТ""",51629212,4,https://www.wildberries.ru/catalog/51629212/detail.aspx
Confidence,"Бюстгальтеры ортопедические,Здоровье",пудровый,,Женский,https://images.wbstatic.net/c516x688/new/14660000/14669031-1.jpg,yes,5 840,5,МАЙЛС МЕД ООО,14669031,44,https://www.wildberries.ru/catalog/14669031/detail.aspx
Evita-orto,"Вкладыши после мастэктомии,Здоровье","телесный, бежевый","Предназначен для протезирования при отсутствии необходимости в замещении дефекта подключичной области. Данная форма протеза обеспечивает естественный вид при ношении бюстгальтера.Экзопротез молочной железы симметричной формы изготовен из высококачественного нетоксичного, гипоаллергенного силиконового геля, в симметричном исполнении, плотность которого соответствует плотности настоящей груди. Экзопротез имеет мягкую и нжную структуру, быстро принимает температуру тела.Внешнее покрытие - специальная двухслойная матированная полиуретановая оболочка, схожая на ощупь с кожей. Экзопротез имеет мягкую и нежную структуру, быстро адаптируется к температуре тела.Экзопротезы зарегистрированы в качестве медицинского средства, о чем свидетельствует соответствующая запись в реестре медицинских изделий. Кроме того, все протезы грудной железы изготовлены в соответствии системой менеджмента качества по ГОСТ ISO 9001-2015, подтверждающей высокое качество и безопасность использования.",,https://images.wbstatic.net/c516x688/new/39490000/39497683-1.jpg,yes,5 577,3,ИП Кузнецов С.В.,39497683,2,https://www.wildberries.ru/catalog/39497683/detail.aspx
Evita-orto,"Вкладыши после мастэктомии,Здоровье",телесный,"Экзопротез молочной железы симметричной формы, **размеры с 4 по 7, правая сторона.**Предназначен для постоянного дневного ношения.Обеспечивает сбалансированную осанку, компенсирует весовой дисбаланс и предупреждает вторичные деформации тела.Изготовлен из нетоксичного и гипоаллергенного силикона, плотность которого соответствует настоящей груди.Верхнее покрытие - двухслойная матированная полиуретановая оболочка, схожая на ощупь с кожей. Протез грудной железы имеет нежную структуру, быстро адаптируется к температуре тела.**Выбор размера протеза груди:** необходимо воспользоваться инструкциями в карусели фотографий. Сначала необходимо определить размер белья, далее по таблице определить размер протеза.Грудные протезы зарегистрированы в качестве средства реабилитации, о чем свидетельствует запись в реестре медицинских изделий. Вся продукция изготовлены в соответствии системой менеджмента качества ГОСТ ISO 9001-2015.Перед покупкой рекомендуем проконсультироваться с врачом.",,https://images.wbstatic.net/c516x688/new/39390000/39399440-1.jpg,yes,5 171,5,ИП Кузнецов С.В.,39399440,6,https://www.wildberries.ru/catalog/39399440/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",бежевый,Почувствуй комфорт профессионального белья. Бюстгальтер выполнен из гладкого трикотажного полотна. Кармашки для протезов находятся с обеих сторон. Специальный Т-образный крой чашки надежно фиксирует протез. Широкие бретели снимают напряжение с плеч и шеи. Обхват регулируется удобной застёжкой сзади. Высокая линия декольте и расширенный пояс скрывают следы оперативного вмешательства. Перед применением проконсультируйтесь со специалистом.,Женский,https://images.wbstatic.net/c516x688/new/10820000/10824846-1.jpg,yes,2 193,5,ПРЕДПРИЯТИЕ АИСТ ООО,10824846,98,https://www.wildberries.ru/catalog/10824846/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",серый,,Женский,https://images.wbstatic.net/c516x688/new/12590000/12598771-1.jpg,yes,2 023,5,ПРЕДПРИЯТИЕ АИСТ ООО,12598771,242,https://www.wildberries.ru/catalog/12598771/detail.aspx
Confidence,"Бюстгальтеры ортопедические,Здоровье",слоновая кость,,Женский,https://images.wbstatic.net/c516x688/new/14660000/14669032-1.jpg,yes,5 840,5,МАЙЛС МЕД ООО,14669032,41,https://www.wildberries.ru/catalog/14669032/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",черный,Почувствуй комфорт профессионального белья. Бюстгальтер выполнен из гладкого трикотажного полотна. Кармашки для протезов находятся с обеих сторон. Специальный Т-образный крой чашки надежно фиксирует протез. Широкие бретели снимают напряжение с плеч и шеи. Обхват регулируется удобной застёжкой сзади. Высокая линия декольте и расширенный пояс скрывают следы оперативного вмешательства. Перед применением проконсультируйтесь со специалистом.,Женский,https://images.wbstatic.net/c516x688/new/10820000/10824847-1.jpg,yes,1 938,5,ПРЕДПРИЯТИЕ АИСТ ООО,10824847,98,https://www.wildberries.ru/catalog/10824847/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",бежевый,,Женский,https://images.wbstatic.net/c516x688/new/10240000/10245920-1.jpg,yes,2 320,5,ПРЕДПРИЯТИЕ АИСТ ООО,10245920,47,https://www.wildberries.ru/catalog/10245920/detail.aspx
Anita,"Бюстгальтеры ортопедические,Здоровье",черный,"Притягательный бюстгальтер с кармашками для протеза с обеих сторон. Чашки с вертикальными швами, подобно пуш-ап, придают груди аккуратную и соблазнительную форму. В больших размерах для надежной поддержки бюста предназначена дополнительная потайная деталь. В модели черного цвета подкладка выполнена из цветного тюля и выглядит очень естественно. Необычные бретели из мягкого вспененного материала в чехле из мягчайшего микроволокна. Спинка усилена прочной эластичной тканью. 20% хлопка в составе.",Женский,https://images.wbstatic.net/c516x688/new/43290000/43295258-1.jpg,yes,7 893,5,МАЙЛС МЕД ООО,43295258,58,https://www.wildberries.ru/catalog/43295258/detail.aspx
Evita-orto,"Вкладыши после мастэктомии,Здоровье","телесный, бежевый","Экзопротез молочной железы симметричной формы, **размеры с 8 по 12, правая сторона.**Предназначен для постоянного дневного ношения.Обеспечивает сбалансированную осанку, компенсирует весовой дисбаланс и предупреждает вторичные деформации тела.Изготовлен из нетоксичного и гипоаллергенного силикона, плотность которого соответствует настоящей груди.Верхнее покрытие - двухслойная матированная полиуретановая оболочка, схожая на ощупь с кожей. Протез грудной железы имеет нежную структуру, быстро адаптируется к температуре тела.**Выбор размера протеза груди:** необходимо воспользоваться инструкциями в карусели фотографий. Сначала необходимо определить размер белья, далее по таблице определить размер протеза.Грудные протезы зарегистрированы в качестве средства реабилитации, о чем свидетельствует запись в реестре медицинских изделий. Вся продукция изготовлены в соответствии системой менеджмента качества ГОСТ ISO 9001-2015.Перед покупкой рекомендуем проконсультироваться с врачом.",,https://images.wbstatic.net/c516x688/new/39400000/39401645-1.jpg,yes,6 566,3,ИП Кузнецов С.В.,39401645,2,https://www.wildberries.ru/catalog/39401645/detail.aspx
Camelia,"Бюстгальтеры ортопедические,Здоровье",черничный,,Женский,https://www.wildberries.ru/%20//static.wbstatic.net/i/blank.gif,yes,1 997,5,ПРЕДПРИЯТИЕ АИСТ ООО,12195322,242,https://www.wildberries.ru/catalog/12195322/detail.aspx
