product>>brand,product>>categories,product>>currency,product>>date,product>>description,product>>imageUrls,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
F21,,USD,2018-01-14T22:25:12.699Z,"A knit top featuring a round neckline, dropped shoulders, and 3/4 contrast puff sleeves with an allover gingham pattern and buttoned cuffs.- This is an independent brand and not a Forever 21 branded item.",https://www.forever21.com/images/4_full_750/00262864-01.jpg|https://www.forever21.com/images/4_full_750/00262864-02.jpg,https://www.forever21.com/images/1_front_750/00262864-01.jpg|https://www.forever21.com/images/2_side_750/00262864-01.jpg|https://www.forever21.com/images/3_back_750/00262864-01.jpg|https://www.forever21.com/images/1_front_750/00262864-02.jpg|https://www.forever21.com/images/2_side_750/00262864-02.jpg|https://www.forever21.com/images/3_back_750/00262864-02.jpg,Contrast Gingham Top,35,2000262864,https://www.forever21.com/us/shop/Catalog/Product/f21/branded-shop/2000262864,BLACK|IVORY
F21,Plus Size|Shoes,USD,2018-01-14T22:25:17.186Z,"A pair of heels featuring an allover gingham print fabric design, open toe, a self-tie ankle wrap, and a covered stiletto heel.",,https://www.forever21.com/images/1_front_750/00248313-02.jpg|https://www.forever21.com/images/2_side_750/00248313-02.jpg|https://www.forever21.com/images/3_back_750/00248313-02.jpg,Gingham Ankle-Wrap Heels,27.9,2000248313,https://www.forever21.com/us/shop/Catalog/Product/f21/Shoes/2000248313,BLACK/WHITE
F21,,USD,2018-01-14T22:25:21.579Z,"A woven jumpsuit featuring a plunging V-neckline with a twist-front design, adjustable cami straps, and a side concealed zipper.- This is an independent brand and not a Forever 21 branded item.",https://www.forever21.com/images/4_full_750/00263415-01.jpg|https://www.forever21.com/images/4_full_750/00263415-02.jpg|https://www.forever21.com/images/4_full_750/00263415-03.jpg,https://www.forever21.com/images/1_front_750/00263415-01.jpg|https://www.forever21.com/images/2_side_750/00263415-01.jpg|https://www.forever21.com/images/3_back_750/00263415-01.jpg|https://www.forever21.com/images/1_front_750/00263415-02.jpg|https://www.forever21.com/images/2_side_750/00263415-02.jpg|https://www.forever21.com/images/3_back_750/00263415-02.jpg|https://www.forever21.com/images/5_detail_750/00263415-02.jpg|https://www.forever21.com/images/1_front_750/00263415-03.jpg|https://www.forever21.com/images/2_side_750/00263415-03.jpg|https://www.forever21.com/images/3_back_750/00263415-03.jpg|https://www.forever21.com/images/5_detail_750/00263415-03.jpg,Plunging Twist-Front Jumpsuit,48,2000263415,https://www.forever21.com/us/shop/Catalog/Product/f21/branded-shop/2000263415,BLACK|RED|WHITE
F21,Women|Denim,USD,2018-01-14T22:25:25.600Z,"A pair of denim overalls featuring an allover stripe pattern, adjustable shoulder straps, front slip pockets, frayed hem, and buttoned sides.- This is an independent brand and not a Forever 21 branded item.",https://www.forever21.com/images/4_full_750/00264653-01.jpg,https://www.forever21.com/images/1_front_750/00264653-01.jpg|https://www.forever21.com/images/2_side_750/00264653-01.jpg|https://www.forever21.com/images/3_back_750/00264653-01.jpg,Stripe Denim Overalls,45,2000264653,https://www.forever21.com/us/shop/Catalog/Product/f21/bottom_jeans/2000264653,NAVY/WHITE
F21,,USD,2018-01-14T22:25:29.849Z,"A gauze woven crop top by London Rose™ featuring an allover floral print, long bell sleeves, an open-front with a plunging neckline and self-tie closure, and crochet trim.- Matching bottoms available.",https://www.forever21.com/images/4_full_750/00264389-01.jpg,https://www.forever21.com/images/1_front_750/00264389-01.jpg|https://www.forever21.com/images/2_side_750/00264389-01.jpg|https://www.forever21.com/images/3_back_750/00264389-01.jpg|https://www.forever21.com/images/5_detail_750/00264389-01.jpg,London Rose Floral Flare-Sleeve Crop Top,48,2000264389,https://www.forever21.com/us/shop/Catalog/Product/f21/branded-shop/2000264389,BLUSH/MULTI
F21,,USD,2018-01-14T22:25:33.667Z,"A pair of gauze woven palazzo pants by London Rose™ featuring an allover floral print, wide-leg, high-rise, and a concealed side zipper.- Matching top available.",https://www.forever21.com/images/4_full_750/00264380-01.jpg,https://www.forever21.com/images/1_front_750/00264380-01.jpg|https://www.forever21.com/images/2_side_750/00264380-01.jpg|https://www.forever21.com/images/3_back_750/00264380-01.jpg|https://www.forever21.com/images/5_detail_750/00264380-01.jpg,London Rose Floral Palazzo Pants,58,2000264380,https://www.forever21.com/us/shop/Catalog/Product/f21/branded-shop/2000264380,BLUSH/MULTI
F21,,USD,2018-01-14T22:25:37.521Z,"A woven romper by London Rose™ featuring open shoulders, shoulder straps, an allover variegated stripe pattern, short sleeves, a flounce layer, and a back concealed zipper.",https://www.forever21.com/images/4_full_750/00264422-01.jpg,https://www.forever21.com/images/1_front_750/00264422-01.jpg|https://www.forever21.com/images/2_side_750/00264422-01.jpg|https://www.forever21.com/images/3_back_750/00264422-01.jpg|https://www.forever21.com/images/5_detail_750/00264422-01.jpg,London Rose Stripe Open-Shoulder Romper,58,2000264422,https://www.forever21.com/us/shop/Catalog/Product/f21/branded-shop/2000264422,NAVY/MULTI
F21,Women|Denim,USD,2018-01-14T22:25:41.315Z,"A denim skirt featuring a five-pocket construction, an allover distressed design, zip fly, and a dolphin hem with cutout and frayed accents.- This is an independent brand and not a Forever 21 branded item.",https://www.forever21.com/images/4_full_750/00278796-01.jpg,https://www.forever21.com/images/1_front_750/00278796-01.jpg|https://www.forever21.com/images/2_side_750/00278796-01.jpg|https://www.forever21.com/images/3_back_750/00278796-01.jpg,Distressed Dolphin Hem Denim Skirt,35,2000278796,https://www.forever21.com/us/shop/Catalog/Product/f21/bottom_jeans/2000278796,MEDIUM DENIM
F21,Women|Tops,USD,2018-01-14T22:25:45.487Z,"A knit tee featuring a ""New York City 1990"" chest graphic, contrasting ""New York City 1990 X"" graphic panels along the long sleeves, a round neckline, cropped hem, and boxy silhouette.",https://www.forever21.com/images/4_full_750/00260248-01.jpg,https://www.forever21.com/images/1_front_750/00260248-01.jpg|https://www.forever21.com/images/2_side_750/00260248-01.jpg|https://www.forever21.com/images/3_back_750/00260248-01.jpg|https://www.forever21.com/images/5_detail_750/00260248-01.jpg,New York City Graphic Crop Tee,15.9,2000260248,https://www.forever21.com/us/shop/Catalog/Product/f21/top_blouses/2000260248,YELLOW/BLACK
F21,Women|Tops,USD,2018-01-14T22:25:49.507Z,"A knit tee featuring contrast ""Worldwide"" graphic panels with stars along the long sleeves, a ribbed round neckline, cropped hem, and boxy silhouette.",https://www.forever21.com/images/4_full_750/00260252-01.jpg,https://www.forever21.com/images/1_front_750/00260252-01.jpg|https://www.forever21.com/images/2_side_750/00260252-01.jpg|https://www.forever21.com/images/3_back_750/00260252-01.jpg|https://www.forever21.com/images/5_detail_750/00260252-01.jpg,Worldwide Graphic Crop Tee,15.9,2000260252,https://www.forever21.com/us/shop/Catalog/Product/f21/top_blouses/2000260252,RED/BLACK
F21,Women|Beauty,USD,2018-01-14T22:25:53.917Z,"Become a liner pro with Lottie London’s Wing Woman eyeliner. Feline flicks and dramatic wings are no match for this easy to use, intensely black precision felt tip liner.",,https://www.forever21.com/images/1_front_750/00255404-01.jpg|https://www.forever21.com/images/2_side_750/00255404-01.jpg,Lottie London Wing Woman Eyeliner - Black,7,1000255404,https://www.forever21.com/us/shop/Catalog/Product/f21/acc_beauty/1000255404,BLACK/BLACK
F21,Women|Tops,USD,2018-01-14T22:25:58.056Z,"A knit tee featuring contrasting ""London E3 1995"" graphic panels along the long sleeves, a ribbed round neckline, cropped hem, and boxy silhouette.",https://www.forever21.com/images/4_full_750/00260243-01.jpg,https://www.forever21.com/images/1_front_750/00260243-01.jpg|https://www.forever21.com/images/2_side_750/00260243-01.jpg|https://www.forever21.com/images/3_back_750/00260243-01.jpg,London E3 1995 Graphic Crop Tee,15.9,2000260243,https://www.forever21.com/us/shop/Catalog/Product/f21/top_blouses/2000260243,WHITE/BLACK
LOVE21,Women|Tops,USD,2018-01-14T22:26:02.134Z,"A semi-sheer woven top in a stripe and floral print featuring a split neck with self-tie straps, a tiered seam design with ruffle trim, 3/4 sleeves with trumpet cuffs, and a flowy silhouette.",,https://www.forever21.com/images/1_front_750/00258746-01.jpg|https://www.forever21.com/images/2_side_750/00258746-01.jpg|https://www.forever21.com/images/3_back_750/00258746-01.jpg|https://www.forever21.com/images/5_detail_750/00258746-01.jpg,Stripe & Floral Print Top,17.9,2000258746,https://www.forever21.com/us/shop/Catalog/Product/f21/top_blouses/2000258746,GINGER/BLACK
