item>>01 id,item>>02 name,item>>03 tagline,item>>04 url,item>>05 thumbnail,item>>06 topics,item>>07 votes,item>>08 comments,item>>09 owner id,item>>10 owner name,item>>11 created at,item>>12 featured at,item>>13 scheduled at,item>>14 updated at
554807,Monica Code,Stay in your IDE and code alongside GPT-4o + Claude 3.5,https://www.producthunt.com/r/p/554807,https://ph-files.imgix.net/2d405f48-a6f8-48ba-865f-fb60aa9c01f1.png,"Productivity, Developer Tools, Artificial Intelligence",989,116,524015,Monica,2024-11-02T00:01:00-07:00,2024-11-02T00:01:00-07:00,2024-11-02T00:01:00-07:00,2024-11-06T10:10:38-08:00
494914,MindOne Builder,Design-first app builder for native mobile and web,https://www.producthunt.com/r/p/494914,https://ph-files.imgix.net/d4ff6054-b8e0-4b99-8c4a-37cb9a5f69bf.png,"Developer Tools, Maker Tools, No-Code",659,53,549901,MindOne,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-06T10:26:52-08:00
563055,TherapyAI,AI therapy for election stress,https://www.producthunt.com/r/p/563055,https://ph-files.imgix.net/008c0124-be0e-4a54-aab2-3a279fc94a3c.png,"Health & Fitness, Politics, Bots",640,64,664426,TherapyAI,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-06T10:31:19-08:00
561306,KLING AI,Next-Generation Al Creative Studio,https://www.producthunt.com/r/p/561306,https://ph-files.imgix.net/acecd0b2-d220-438b-b1ff-832f2c9614d9.png,"Artificial Intelligence, Maker Tools, Video",640,25,674455,KLING AI,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-06T09:44:54-08:00
545536,FullContext,Build GTM workflows 20x faster with natural language,https://www.producthunt.com/r/p/545536,https://ph-files.imgix.net/4879bdef-94c4-4696-98ec-69febb67b38a.png,"Sales, Marketing, Artificial Intelligence",621,60,659440,FullContext,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-06T09:35:43-08:00
569655,VoteGPT,Your election assistant,https://www.producthunt.com/r/p/569655,https://ph-files.imgix.net/4def748f-9b2c-4eae-8cac-8d32b2fad7da.png,Politics,609,43,682573,VoteGPT,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-06T06:36:44-08:00
556192,Zero Setup AI Coding with OpenHands,"Cloud VS Code meets autonomous AI coding, powered by Daytona",https://www.producthunt.com/r/p/556192,https://ph-files.imgix.net/e02fb397-2c38-45b1-98b8-84af5a24a19e.png,"Open Source, Software Engineering, Artificial Intelligence",591,22,669671,Zero Setup AI Coding with OpenHands,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-06T09:40:19-08:00
562099,ChatGPT search,"Get fast, timely answers with links to relevant web sources",https://www.producthunt.com/r/p/562099,https://ph-files.imgix.net/d9e8e4c6-5ad1-4960-9c03-696023de2bc9.png,"Artificial Intelligence, Search",540,24,113179,GPT-4 by OpenAI,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-06T10:31:00-08:00
554706,SigmaRemote,Give your global team better payroll for 70% less than Deel,https://www.producthunt.com/r/p/554706,https://ph-files.imgix.net/c9a1416a-cbcb-4de2-976e-38c197a5057d.jpeg,"Hiring, Fintech, Payments",521,118,668185,SigmaRemote,2024-11-02T00:01:00-07:00,2024-11-02T00:01:00-07:00,2024-11-02T00:01:00-07:00,2024-11-06T07:02:58-08:00
522730,Truva AI,Sell more and grind less with AI agents,https://www.producthunt.com/r/p/522730,https://ph-files.imgix.net/a6ce5f88-ca36-4a51-bcc8-d8ce123ec753.png,"Productivity, Sales, Artificial Intelligence",483,50,580860,Truva,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-06T07:07:48-08:00
576509,Overlay by Crisp,The new AI-powered site search experience,https://www.producthunt.com/r/p/576509,https://ph-files.imgix.net/c7af37fc-6068-46c4-a05c-5defc15f24a3.png,"User Experience, SaaS, Artificial Intelligence",416,50,113206,Crisp,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-06T10:18:01-08:00
562198,Claude for Desktop,"Desktop AI partner designed for fast, focused, deep work",https://www.producthunt.com/r/p/562198,https://ph-files.imgix.net/d73b5d0c-76f4-4b5a-8aa3-bfaf68e0488a.png,"PC, Mac, Artificial Intelligence",394,15,675314,Claude for Desktop,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-06T10:30:55-08:00
529858,Video Ocean,Create stunning videos from text and images in minutes,https://www.producthunt.com/r/p/529858,https://ph-files.imgix.net/4ae85f33-3c84-44ef-a940-e6aafd715e34.x-icon,"Design Tools, Artificial Intelligence, Tech",382,31,612217,Video Ocean,2024-11-06T00:01:00-08:00,2024-11-06T00:01:00-08:00,2024-11-06T00:01:00-08:00,2024-11-06T10:26:37-08:00
527745,Orbit AI by Nifty,The only project management hub youâ€™ll ever need.,https://www.producthunt.com/r/p/527745,https://ph-files.imgix.net/a727478c-850b-4244-b82a-c4c311bf6fe3.png,"Productivity, Task Management, Artificial Intelligence",363,26,95819,Nifty,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-06T10:20:45-08:00
563254,Kiwi Fitness,AI powered Strava for gym goers,https://www.producthunt.com/r/p/563254,https://ph-files.imgix.net/6ad03630-d92f-40d6-8c4a-053bbfdc162f.png,"Android, iOS, Health & Fitness",340,45,675479,Kiwi Fitness,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-06T10:15:29-08:00
490660,Journeys by InfiniGrow,Track customer journeys of your top accounts. For free,https://www.producthunt.com/r/p/490660,https://ph-files.imgix.net/e7c3ab21-4da8-4d0f-a63f-b89376cc670f.png,"Analytics, Marketing, SaaS",327,37,107561,InfiniGrow,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-06T08:41:19-08:00
511707,Listy+,Save and track everything you love in the same app,https://www.producthunt.com/r/p/511707,https://ph-files.imgix.net/c5c77714-2907-4c39-938b-40fae788180b.gif,"Productivity, Movies, Books",313,27,439421,Listy,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-06T10:25:34-08:00
492179,Siter,A no-code website builder that offers design freedom,https://www.producthunt.com/r/p/492179,https://ph-files.imgix.net/41403c18-3680-4cd0-a8ee-b332f3578804.png,"Design Tools, Website Builder, Web Design",308,34,484216,Siter,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-06T09:47:26-08:00
562659,Zappit.ai,"Fully Automated SEO, Round the Clock",https://www.producthunt.com/r/p/562659,https://ph-files.imgix.net/2c32cbbf-b96a-4bc7-b35a-b6293a6f513b.jpeg,"Marketing, SEO, Artificial Intelligence",297,38,675742,Zappit.ai,2024-11-04T00:01:00-08:00,,2024-11-04T00:01:00-08:00,2024-11-06T03:28:19-08:00
539593,WalkSmart.AI,Free walking tour generator,https://www.producthunt.com/r/p/539593,https://ph-files.imgix.net/d3bd3e4d-02a6-4497-b932-9bf512b8d0d8.png,"Web App, Travel, Artificial Intelligence",289,39,653699,WalkSmart,2024-11-02T00:01:00-07:00,2024-11-02T00:01:00-07:00,2024-11-02T00:01:00-07:00,2024-11-06T07:21:24-08:00
492146,SWE-Kit,Build your own Devin like software engineering agent,https://www.producthunt.com/r/p/492146,https://ph-files.imgix.net/bfc174fb-bb56-45c2-807d-c8435534e840.png,"Open Source, Software Engineering, Artificial Intelligence",286,17,609028,SWE-Kit,2024-11-06T00:01:00-08:00,2024-11-06T00:01:00-08:00,2024-11-06T00:01:00-08:00,2024-11-06T10:25:00-08:00
541672,Streamin,The streaming search engine,https://www.producthunt.com/r/p/541672,https://ph-files.imgix.net/2a7d908e-b81b-42b8-a70a-2c1c782887a5.png,"Movies, TV, Streaming Services",276,15,655679,Streamin,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-06T10:30:37-08:00
566322,Crustdata,Real-time people and company data via APIs and webhooks,https://www.producthunt.com/r/p/566322,https://ph-files.imgix.net/f0f4f15e-5cf0-4c12-84b6-937c0aeac63d.png,"Sales, Marketing, Investing",254,18,679339,Crustdata,2024-11-06T00:01:00-08:00,2024-11-06T00:01:00-08:00,2024-11-06T00:01:00-08:00,2024-11-06T10:21:20-08:00
443948,RenderLion,Turn URLs & prompts into videos instantly,https://www.producthunt.com/r/p/443948,https://ph-files.imgix.net/23821d93-7633-47bf-a49f-062ec2f3726c.png,"Design Tools, Marketing, Artificial Intelligence",253,38,574481,RenderLion,2024-11-05T00:01:00-08:00,,2024-11-05T00:01:00-08:00,2024-11-06T09:29:56-08:00
480389,Melies,Transform your ideas into Hollywood movies with AI,https://www.producthunt.com/r/p/480389,https://ph-files.imgix.net/4c0d1a94-a3ca-4e27-8879-f9c4bb7e19c3.png,"Movies, Artificial Intelligence, Video Art",252,36,599875,Melies,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-06T10:31:42-08:00
509331,Sona,AI transcription notes,https://www.producthunt.com/r/p/509331,https://ph-files.imgix.net/baa8acbf-928f-45c3-b96b-f73b8c7ed8c6.png,"Productivity, Meetings, Artificial Intelligence",231,31,625681,Sona,2024-11-06T00:01:00-08:00,2024-11-06T00:01:00-08:00,2024-11-06T00:01:00-08:00,2024-11-06T10:29:57-08:00
487878,Slide Dish,Inspire your cooking and become a better home chef,https://www.producthunt.com/r/p/487878,https://ph-files.imgix.net/8a1aa415-8425-48b4-879d-d9366d94fd3b.png,"Cookbooks, Cooking, Artificial Intelligence",223,31,605473,Slide Dish: cooking & plating,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-06T09:51:23-08:00
556422,Loopple AI Website Builder,Create your Free website in under 30 seconds with AI,https://www.producthunt.com/r/p/556422,https://ph-files.imgix.net/004cb8ab-7dda-47df-9cf0-90a46faaab26.png,"Design Tools, Website Builder, Artificial Intelligence",221,36,469230,Loopple,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-06T09:41:20-08:00
535797,Pictory AI,Slide Stories,https://www.producthunt.com/r/p/535797,https://ph-files.imgix.net/4d9cb256-1858-44fb-a698-f04f4081e482.gif,"Marketing, Artificial Intelligence, Video",209,59,457210,Pictory,2024-11-01T00:01:00-07:00,,2024-11-01T00:01:00-07:00,2024-11-06T03:48:18-08:00
488298,Reassurance AI,Take Control of Your Mental Health,https://www.producthunt.com/r/p/488298,https://ph-files.imgix.net/389b0dfb-ea39-42ff-84f8-96db20b4ccb3.png,"Artificial Intelligence, Bots, Health",195,34,562991,Reassurance AI,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-06T09:02:07-08:00
579391,RivalSense,Monitor any company with AI & receive weekly curated updates,https://www.producthunt.com/r/p/579391,https://ph-files.imgix.net/24dd3fc5-7aae-4c49-b2a4-ae229ef6202e.png,"SaaS, Artificial Intelligence, Business Intelligence",192,44,691885,RivalSense,2024-11-06T00:01:00-08:00,2024-11-06T00:01:00-08:00,2024-11-06T00:01:00-08:00,2024-11-06T10:25:31-08:00
556060,SEO Analytics Reports by Buddler,Transform Lost Traffic into Growth with SEO Hacking Insights,https://www.producthunt.com/r/p/556060,https://ph-files.imgix.net/3f85ccbf-7e11-4252-b0d2-1051052864fc.png,"Analytics, Marketing, SEO",191,30,669539,Buddler,2024-11-01T00:01:00-07:00,,2024-11-01T00:01:00-07:00,2024-11-05T05:13:01-08:00
556589,Kakrola,Kill the tab circus,https://www.producthunt.com/r/p/556589,https://ph-files.imgix.net/65be7ea4-07e1-4b01-b9db-a2a3790d90f5.svg,"Productivity, Task Management, SaaS",187,38,670035,Kakrola,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-06T10:16:52-08:00
551109,startupful,Build websites fast with ready-to-use designs and UI/UX code,https://www.producthunt.com/r/p/551109,https://ph-files.imgix.net/677af8fe-70bc-4390-949e-21ef86b51014.jpeg,"Design Tools, Developer Tools, No-Code",177,22,664786,Startupful,2024-11-05T00:01:00-08:00,,2024-11-05T00:01:00-08:00,2024-11-06T09:29:57-08:00
566917,eero Outdoor 7,Extend your wifi beyond your walls,https://www.producthunt.com/r/p/566917,https://ph-files.imgix.net/8c506f53-7ca9-40d2-b149-dfd114ce10ab.png,"Home, Wi-Fi, Outdoors",171,4,101498,eero,2024-11-02T00:01:00-07:00,2024-11-02T00:01:00-07:00,2024-11-02T00:01:00-07:00,2024-11-06T08:51:17-08:00
572936,RightFont 9.0,The ultimate font manager app for Mac,https://www.producthunt.com/r/p/572936,https://ph-files.imgix.net/8eae2623-1c11-40e9-a100-0dfd4aaf10a0.png,"Mac, Design Tools, Typography",166,16,112547,RightFont,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-06T09:28:02-08:00
560580,KlipLab,AI celebrity voice generator & lip-syncing tool,https://www.producthunt.com/r/p/560580,https://ph-files.imgix.net/2fdb77c8-b9d0-4914-8ecb-2ea6206ed4da.png,"Social Media, Audio, Video",160,18,673828,KlipLab,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-06T07:51:18-08:00
577938,Getaway.direct,Say goodbye to Airbnb fees and book with direct links,https://www.producthunt.com/r/p/577938,https://ph-files.imgix.net/8e9f5928-287d-4924-896c-43d21d2bb581.png,"Browser Extensions, Travel, Vacation",151,19,690486,Getaway.direct: Save on Airbnb Fees,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-06T09:36:59-08:00
561274,Zoviz,"One-click branding, create logos & brand kit instantly",https://www.producthunt.com/r/p/561274,https://ph-files.imgix.net/76b416c2-e7ee-4781-ace7-99495885f3a6.jpeg,"SaaS, Artificial Intelligence, Tech",148,3,556151,Zoviz,2024-11-01T00:01:00-07:00,,2024-11-01T00:01:00-07:00,2024-11-05T12:45:53-08:00
494897,Openchangelog,The Changelog for fast shipping teams,https://www.producthunt.com/r/p/494897,https://ph-files.imgix.net/9f9047d5-c817-4e84-9da9-01336fd69a1d.png,"Open Source, Customer Communication, Developer Tools",147,18,611275,Openchangelog,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-06T06:41:16-08:00
574790,Magical Children's Book,Create a personalized children's book,https://www.producthunt.com/r/p/574790,https://ph-files.imgix.net/c2110383-051f-45aa-9fb3-c51fd2e7a2be.png,"Parenting, Kids, Books",142,28,687435,Magical Children's Book,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-05T00:01:00-08:00,2024-11-06T07:16:01-08:00
537975,DreamMuse,Dream journal that turns dreams into goals,https://www.producthunt.com/r/p/537975,https://ph-files.imgix.net/632e82c5-fac8-4c40-ab91-c2d2bb850d79.png,"Health & Fitness, Writing, Lifestyle",141,25,652114,DreamMuse,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-06T10:21:12-08:00
493473,Backona AI,Interact with your marketing data through an AI chat.,https://www.producthunt.com/r/p/493473,https://ph-files.imgix.net/9d3e4df5-27a0-4ac4-aaf1-d52c3e1a473f.png,"Analytics, Marketing, SaaS",141,39,610126,Backona AI,2024-11-06T00:01:00-08:00,,2024-11-06T00:01:00-08:00,2024-11-06T10:26:53-08:00
574219,Toaster,Analytics for Figma prototypes,https://www.producthunt.com/r/p/574219,https://ph-files.imgix.net/51230fb9-1173-4867-8186-20a71c547bca.png,"Design Tools, Analytics, UX Design",139,27,686934,Toaster,2024-11-06T00:01:00-08:00,2024-11-06T00:01:00-08:00,2024-11-06T00:01:00-08:00,2024-11-06T10:27:19-08:00
562758,NoteThisDown,Handwritten notes to Notion,https://www.producthunt.com/r/p/562758,https://ph-files.imgix.net/46aa4d28-de53-437b-a546-ea464335aec1.svg,"Productivity, Notes, Artificial Intelligence",138,31,675841,NoteThisDown,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-06T10:31:19-08:00
565068,Steptastic,Virtually travel around the world,https://www.producthunt.com/r/p/565068,https://ph-files.imgix.net/3fab0253-ee18-4025-90ba-5efedfc70d80.png,"iOS, Apple Watch, Health & Fitness",136,8,678151,Steptastic,2024-11-02T00:01:00-07:00,2024-11-02T00:01:00-07:00,2024-11-02T00:01:00-07:00,2024-11-06T10:31:19-08:00
561240,Tesseract,A diary app inspired by the movie Interstellar,https://www.producthunt.com/r/p/561240,https://ph-files.imgix.net/d6b1dc24-d9b3-4293-87f4-0edb83129945.jpeg,"Productivity, Graphics & Design, Animation",136,15,674389,Tesseract,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-01T00:01:00-07:00,2024-11-06T10:11:21-08:00
568071,GeoClick,Capture moments and tag locations instantly,https://www.producthunt.com/r/p/568071,https://ph-files.imgix.net/f9b536dd-b654-4fe3-9692-0634ddd71a6a.png,"Android, Travel, Photography, GitHub",133,13,680923,GeoClick : GPS-Camera On Photo,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-06T09:51:24-08:00
530946,Airtrac,"Pilots, Track Your Air Travel",https://www.producthunt.com/r/p/530946,https://ph-files.imgix.net/f9a9b971-b112-4591-b7d8-90ba71288cbd.x-icon,Travel,133,8,645844,Airtrac,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-03T00:01:00-07:00,2024-11-06T09:51:24-08:00
568435,Winday,All-in-one SaaS to make gamification accessible to everyone,https://www.producthunt.com/r/p/568435,https://ph-files.imgix.net/ccb744ed-5fca-4fcc-9124-c4932a919cae.jpeg,"Marketing, SaaS, Games",131,12,681286,Winday,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-04T00:01:00-08:00,2024-11-06T09:31:21-08:00
